id	organism	seedid	oxygenstat	metabolism	gram	mtype	genes	reactions	metabolites	draftcreator	draftcreated	ncbiid	platform	kbaseid	kingdom	phylum	class	order	family	genus	species	file
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	numeric	numeric	numeric	categorical	categorical	numeric	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical
Abiotrophia_defectiva_ATCC_49176	Abiotrophia defectiva ATCC 49176	Abiotrophia defectiva ATCC 49176 (592010.4)	Facultative anaerobe	Saccharolytic, fermentative or respiratory	Positive	Pathogen	631	2428	1250	Eugen Bauer	07/01/14	592010	ModelSEED		Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Abiotrophia defectiva	agora/Abiotrophia_defectiva_ATCC_49176.xml
Achromobacter_xylosoxidans_A8	Achromobacter xylosoxidans A8	Achromobacter xylosoxidans A8 (762376.5)	Aerobe	Respiratory	Negative		1663	1668	1229			762376	ModelSEED	kb_g_3268_model_gf	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter xylosoxidans	agora/Achromobacter_xylosoxidans_A8.xml
Achromobacter_xylosoxidans_NBRC_15126	Achromobacter xylosoxidans NBRC 15126 = ATCC 27061		Aerobe	Respiratory	Negative		1380	1674	1216			1216976	Kbase	kb|g.208127	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter xylosoxidans	agora/Achromobacter_xylosoxidans_NBRC_15126.xml
Acidaminococcus_fermentans_DSM_20731	Acidaminococcus fermentans DSM 20731	Acidaminococcus fermentans DSM 20731 (591001.3)	Obligate anaerobe	Fermentative	Negative		645	1102	905	Laura Kutt	04/17/16	591001	Kbase	kb|g.2555	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus fermentans	agora/Acidaminococcus_fermentans_DSM_20731.xml
Acidaminococcus_intestini_RyC_MR95	Acidaminococcus intestini RyC-MR95	Acidaminococcus intestini RyC-MR95 (568816.4)	Obligate anaerobe	Asaccharolytic, glutamate is fermented	Negative	Commensal	600	1001	828	Eugen Bauer	08/03/14	568816	Kbase		Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus intestini	agora/Acidaminococcus_intestini_RyC_MR95.xml
Acidaminococcus_sp_D21	Acidaminococcus sp. D21	Acidaminococcus sp. D21 (563191.3)	Obligate anaerobe	Asaccharolytic, glutamate is fermented	Negative	Commensal	562	860	770	Ines Thiele	06/29/12	563191	Kbase		Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus intestini	agora/Acidaminococcus_sp_D21.xml
Acinetobacter_baumannii_AB0057	Acinetobacter baumannii AB0057	Acinetobacter baumannii AB0057 (480119.5)	Aerobe	Respiratory	Negative		1021	1593	1181			480119	Kbase	kb|g.1744	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii	agora/Acinetobacter_baumannii_AB0057.xml
Acinetobacter_calcoaceticus_PHEA_2	Acinetobacter calcoaceticus PHEA-2	Acinetobacter calcoaceticus PHEA-2 (871585.3)	Aerobe	Respiratory	Negative		1026	1586	1164	Laura Kutt	04/18/16	871585	Kbase	kb|g.3519	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter pittii	agora/Acinetobacter_calcoaceticus_PHEA_2.xml
Acinetobacter_haemolyticus_NIPH_261	Acinetobacter haemolyticus NIPH 261	Acinetobacter haemolyticus NIPH 261 (1217986.3)	Aerobe	Respiratory	Negative		876	1382	1073	Laura Kutt	04/18/16	1217986	ModelSEED	kb|g.31235	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter haemolyticus	agora/Acinetobacter_haemolyticus_NIPH_261.xml
Acinetobacter_johnsonii_SH046	Acinetobacter johnsonii SH046	Acinetobacter johnsonii SH046 (575586.4)	Aerobe	Asaccharolytic	Negative		863	1446	1068	Laura Kutt	04/18/16	575586	ModelSEED	kb|g.2448	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter johnsonii	agora/Acinetobacter_johnsonii_SH046.xml
Acinetobacter_junii_SH205	Acinetobacter junii SH205	Acinetobacter junii SH205 (575587.3)	Aerobe	Strictly respiratory, amino acids utilized	Negative	Opportunistic pathogen	753	1295	951	Ines Thiele	06/29/12	575587	ModelSEED		Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter junii	agora/Acinetobacter_junii_SH205.xml
Acinetobacter_lwoffii_WJ10621	Acinetobacter lwoffii WJ10621	Acinetobacter lwoffii WJ10621 (1046625.3)	Aerobe	Respiratory	Negative		798	1356	1024	Laura Kutt	04/18/16	1046625	ModelSEED	kb|g.23426	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter lwoffii	agora/Acinetobacter_lwoffii_WJ10621.xml
Acinetobacter_pittii_ANC_4052	Acinetobacter pittii ANC 4052	Acinetobacter pittii ANC 4052 (1217689.3)	Aerobe	Asaccharolytic	Negative		1021	1582	1146	Laura Kutt	04/18/16	1217689	Kbase	kb|g.31207	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter pittii	agora/Acinetobacter_pittii_ANC_4052.xml
Acinetobacter_radioresistens_NIPH_2130	Acinetobacter radioresistens NIPH 2130	Acinetobacter radioresistens NIPH 2130 (1217674.3)	Aerobe	Asaccharolytic	Negative		857	1425	1076	Laura Kutt	04/18/16	1217674	Kbase	kb|g.31202	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter radioresistens	agora/Acinetobacter_radioresistens_NIPH_2130.xml
Actinobacillus_pleuropneumoniae_L20	Actinobacillus pleuropneumoniae L20	Actinobacillus pleuropneumoniae L20 (416269.5)	Facultative anaerobe	Saccharolytic, fermentative	Negative		772	1403	1027	Laura Kutt	06/02/16	416269	Kbase	kb|g.1403	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus	Actinobacillus pleuropneumoniae	agora/Actinobacillus_pleuropneumoniae_L20.xml
Actinomyces_cardiffensis_F0333	Actinomyces cardiffensis F0333	Actinomyces cardiffensis F0333 (888050.3)	Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	580	1065	850	chenry	04/15/16	888050	Kbase	kb|g.32379	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Schaalia	Schaalia cardiffensis	agora/Actinomyces_cardiffensis_F0333.xml
Actinomyces_georgiae_DSM_6843	Actinomyces georgiae  DSM 6843		Obligate anaerobe	Saccharolytic, fermentative	Positive	Commensal	536	1068	860	chenry	04/15/16	1120942	Kbase	kb|g.207006	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Schaalia	Schaalia georgiae	agora/Actinomyces_georgiae_DSM_6843.xml
Actinomyces_graevenitzii_C83	Actinomyces graevenitzii  C83	Actinomyces graevenitzii C83 (435830.3)	Facultative anaerobe	Saccharolytic, fermentative	Positive	Opportunistic pathogen	529	1032	868	chenry	04/15/16	435830	Kbase	kb|g.26676	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces graevenitzii	agora/Actinomyces_graevenitzii_C83.xml
Actinomyces_naeslundii_str_Howell_279	Actinomyces naeslundii str. Howell 279		Facultative anaerobe	Saccharolytic, fermentative	Positive	Opportunistic pathogen	668	1203	959	chenry	04/15/16	1115803	Kbase	kb|g.24325	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces naeslundii	agora/Actinomyces_naeslundii_str_Howell_279.xml
