organism,seedid,oxygenstat,metabolism,gram,mtype,genes,reactions,metabolites,draftcreator,draftcreated,ncbiid,platform,kingdom,phylum,class,order,family,genus,species,file,strain,kbaseid,id,summary_rank
Abiotrophia defectiva ATCC 49176,Abiotrophia defectiva ATCC 49176 (592010.4),Facultative anaerobe,"Saccharolytic, fermentative or respiratory",Positive,Pathogen,631.0,2428.0,1250.0,Eugen Bauer,07/01/14,592010.0,ModelSEED,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,Abiotrophia defectiva,Abiotrophia_defectiva.json,Abiotrophia defectiva ATCC 49176,,Abiotrophia_defectiva,species
Clostridium sticklandii DSM 519,Clostridium sticklandii DSM 519 (499177.3),Obligate anaerobe,"Proteolytic, non-sachharolytic",Positive,,699.0,1270.0,959.0,Laura Kutt,04/18/16,499177.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Acetoanaerobium,Acetoanaerobium sticklandii,Acetoanaerobium_sticklandii.json,Clostridium sticklandii DSM 519,kb|g.1828,Acetoanaerobium_sticklandii,species
"Anaerobaculum hydrogeniformans OS1, ATCC BAA-1850",Anaerobaculum hydrogeniformans ATCC BAA-1850 (592015.5),Obligate anaerobe,"Saccharolytic, fermentative",Negative,Commensal,670.0,1030.0,825.0,Ines Thiele,06/29/12,649746.0,Kbase,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Acetomicrobium,Acetomicrobium hydrogeniformans,Acetomicrobium_hydrogeniformans.json,"Anaerobaculum hydrogeniformans OS1, ATCC BAA-1850",,Acetomicrobium_hydrogeniformans,species
,Achromobacter xylosoxidans A8 (762376.5),Aerobe,Respiratory,Negative,,,,,,,,,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,Achromobacter_xylosoxidans.json,,,Achromobacter_xylosoxidans,species
Acidaminococcus fermentans DSM 20731,Acidaminococcus fermentans DSM 20731 (591001.3),Obligate anaerobe,Fermentative,Negative,,645.0,1102.0,905.0,Laura Kutt,04/17/16,591001.0,Kbase,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus fermentans,Acidaminococcus_fermentans.json,Acidaminococcus fermentans DSM 20731,kb|g.2555,Acidaminococcus_fermentans,species
,,Obligate anaerobe,"Asaccharolytic, glutamate is fermented",Negative,Commensal,,,,,,,Kbase,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus intestini,Acidaminococcus_intestini.json,,,Acidaminococcus_intestini,species
Propionibacterium acidipropionici ATCC 4875,Propionibacterium acidipropionici ATCC 4875 (1171373.8),Facultative anaerobe,"Saccharolytic, fermentative",Positive,,929.0,1382.0,1055.0,chenry,04/15/16,1171373.0,Kbase,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Acidipropionibacterium,Acidipropionibacterium acidipropionici,Acidipropionibacterium_acidipropionici.json,Propionibacterium acidipropionici ATCC 4875,kb|g.25121,Acidipropionibacterium_acidipropionici,species
Propionibacterium jensenii DSM 20535,,Facultative anaerobe,"Saccharolytic, fermentative",Positive,,768.0,1283.0,1032.0,chenry,04/15/16,1122997.0,Kbase,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Acidipropionibacterium,Acidipropionibacterium jensenii,Acidipropionibacterium_jensenii.json,Propionibacterium jensenii DSM 20535,kb|g.207245,Acidipropionibacterium_jensenii,species
Acinetobacter baumannii AB0057,Acinetobacter baumannii AB0057 (480119.5),Aerobe,Respiratory,Negative,,1021.0,1593.0,1181.0,,,480119.0,Kbase,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,Acinetobacter_baumannii.json,Acinetobacter baumannii AB0057,kb|g.1744,Acinetobacter_baumannii,species
Acinetobacter haemolyticus NIPH 261,Acinetobacter haemolyticus NIPH 261 (1217986.3),Aerobe,Respiratory,Negative,,876.0,1382.0,1073.0,Laura Kutt,04/18/16,1217986.0,ModelSEED,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter haemolyticus,Acinetobacter_haemolyticus.json,Acinetobacter haemolyticus NIPH 261,kb|g.31235,Acinetobacter_haemolyticus,species
Acinetobacter johnsonii SH046,Acinetobacter johnsonii SH046 (575586.4),Aerobe,Asaccharolytic,Negative,,863.0,1446.0,1068.0,Laura Kutt,04/18/16,575586.0,ModelSEED,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter johnsonii,Acinetobacter_johnsonii.json,Acinetobacter johnsonii SH046,kb|g.2448,Acinetobacter_johnsonii,species
Acinetobacter junii SH205,Acinetobacter junii SH205 (575587.3),Aerobe,"Strictly respiratory, amino acids utilized",Negative,Opportunistic pathogen,753.0,1295.0,951.0,Ines Thiele,06/29/12,575587.0,ModelSEED,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter junii,Acinetobacter_junii.json,Acinetobacter junii SH205,,Acinetobacter_junii,species
Acinetobacter lwoffii WJ10621,Acinetobacter lwoffii WJ10621 (1046625.3),Aerobe,Respiratory,Negative,,798.0,1356.0,1024.0,Laura Kutt,04/18/16,1046625.0,ModelSEED,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter lwoffii,Acinetobacter_lwoffii.json,Acinetobacter lwoffii WJ10621,kb|g.23426,Acinetobacter_lwoffii,species
,,Aerobe,,Negative,,,,,Laura Kutt,04/18/16,,Kbase,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter pittii,Acinetobacter_pittii.json,,,Acinetobacter_pittii,species
Acinetobacter radioresistens NIPH 2130,Acinetobacter radioresistens NIPH 2130 (1217674.3),Aerobe,Asaccharolytic,Negative,,857.0,1425.0,1076.0,Laura Kutt,04/18/16,1217674.0,Kbase,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter radioresistens,Acinetobacter_radioresistens.json,Acinetobacter radioresistens NIPH 2130,kb|g.31202,Acinetobacter_radioresistens,species
Actinobacillus pleuropneumoniae L20,Actinobacillus pleuropneumoniae L20 (416269.5),Facultative anaerobe,"Saccharolytic, fermentative",Negative,,772.0,1403.0,1027.0,Laura Kutt,06/02/16,416269.0,Kbase,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Actinobacillus pleuropneumoniae,Actinobacillus_pleuropneumoniae.json,Actinobacillus pleuropneumoniae L20,kb|g.1403,Actinobacillus_pleuropneumoniae,species
Actinomyces graevenitzii  C83,Actinomyces graevenitzii C83 (435830.3),Facultative anaerobe,"Saccharolytic, fermentative",Positive,Opportunistic pathogen,529.0,1032.0,868.0,chenry,04/15/16,435830.0,Kbase,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces graevenitzii,Actinomyces_graevenitzii.json,Actinomyces graevenitzii  C83,kb|g.26676,Actinomyces_graevenitzii,species
Actinomyces naeslundii str. Howell 279,,Facultative anaerobe,"Saccharolytic, fermentative",Positive,Opportunistic pathogen,668.0,1203.0,959.0,chenry,04/15/16,1115803.0,Kbase,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces naeslundii,Actinomyces_naeslundii.json,Actinomyces naeslundii str. Howell 279,kb|g.24325,Actinomyces_naeslundii,species
Actinomyces oris K20,,Facultative anaerobe,"Saccharolytic, fermentative",Positive,Commensal,534.0,1148.0,927.0,chenry,04/15/16,871541.0,ModelSEED,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces oris,Actinomyces_oris.json,Actinomyces oris K20,kb|g.27961,Actinomyces_oris,species
Actinomyces urogenitalis DSM 15434,Actinomyces urogenitalis DSM 15434 (525246.3),Facultative anaerobe,"Saccharolytic, fermentative",Positive,Opportunistic pathogen,690.0,1247.0,946.0,chenry,04/15/16,525246.0,Kbase,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces urogenitalis,Actinomyces_urogenitalis.json,Actinomyces urogenitalis DSM 15434,kb|g.1979,Actinomyces_urogenitalis,species
Actinomyces viscosus  C505,Actinomyces viscosus C505 (562973.4),Facultative anaerobe,"Saccharolytic, fermentative",Positive,Opportunistic pathogen,722.0,1234.0,956.0,chenry,04/15/16,562973.0,Kbase,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces viscosus,Actinomyces_viscosus.json,Actinomyces viscosus  C505,kb|g.2332,Actinomyces_viscosus,species
Adlercreutzia equolifaciens DSM 19450,,Obligate anaerobe,"Asaccharolytic, nonfermentative",Positive,Commensal,590.0,942.0,813.0,chenry,09/09/14,1384484.0,Kbase,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,Adlercreutzia equolifaciens,Adlercreutzia_equolifaciens.json,Adlercreutzia equolifaciens DSM 19450,,Adlercreutzia_equolifaciens,species
Aerococcus viridans ATCC 11563,Aerococcus viridans ATCC 11563 (655812.3),Facultative anaerobe,"Saccharolytic, fermentative",Positive,,667.0,1209.0,941.0,Laura Kutt,04/17/16,655812.0,Kbase,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,Aerococcus viridans,Aerococcus_viridans.json,Aerococcus viridans ATCC 11563,kb|g.2789,Aerococcus_viridans,species
Aeromonas caviae Ae398,Aeromonas caviae Ae398 (878320.4),Facultative anaerobe,"Saccharolytic, fermentative",Negative,,1090.0,1569.0,1122.0,Laura Kutt,04/18/16,878320.0,Kbase,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas caviae,Aeromonas_caviae.json,Aeromonas caviae Ae398,kb|g.3542,Aeromonas_caviae,species
Aeromonas hydrophila subsp. hydrophila ATCC 7966,Aeromonas hydrophila subsp. hydrophila ATCC 7966 (380703.5),Facultative anaerobe,"Saccharolytic, fermentative",Negative,,1105.0,1588.0,1140.0,Laura Kutt,04/18/16,380703.0,Kbase,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas hydrophila,Aeromonas_hydrophila.json,Aeromonas hydrophila subsp. hydrophila ATCC 7966,kb|g.26547,Aeromonas_hydrophila,species
Aeromonas jandaei Riv2,,Facultative anaerobe,"Saccharolytic, fermentative",Negative,,988.0,1511.0,1090.0,Laura Kutt,04/18/16,1458276.0,Kbase,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas jandaei,Aeromonas_jandaei.json,Aeromonas jandaei Riv2,kb|g.239699,Aeromonas_jandaei,species
Aeromonas media WS,,Facultative anaerobe,"Saccharolytic, fermentative",Negative,,1013.0,1543.0,1125.0,Laura Kutt,04/18/16,1208104.0,Kbase,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas media,Aeromonas_media.json,Aeromonas media WS,kb|g.239700,Aeromonas_media,species
Aeromonas veronii B565,Aeromonas veronii B565 (998088.4),Facultative anaerobe,"Saccharolytic, non-fermentative",Negative,,1084.0,1559.0,1128.0,Laura Kutt,04/18/16,998088.0,Kbase,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas veronii,Aeromonas_veronii.json,Aeromonas veronii B565,kb|g.3886,Aeromonas_veronii,species
Afipia birgiae 34632,Afipia birgiae 34632 (1197906.5),Obligate aerobe,Respiratory,Negative,,1178.0,1482.0,1113.0,Laura Kutt,04/18/16,1197906.0,Kbase,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Afipia,Afipia birgiae,Afipia_birgiae.json,Afipia birgiae 34632,kb|g.25402,Afipia_birgiae,species
Eubacterium desmolans ATCC 43058,,Obligate anaerobe,,Positive,,591.0,1145.0,955.0,Laura Kutt,04/18/16,1408437.0,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Agathobaculum,Agathobaculum desmolans,Agathobaculum_desmolans.json,Eubacterium desmolans ATCC 43058,kb|g.241166,Agathobaculum_desmolans,species
Aggregatibacter aphrophilus NJ8700,Aggregatibacter aphrophilus NJ8700 (634176.4),Aerobe,Respiratory,Negative,,730.0,1294.0,998.0,Laura Kutt,04/19/16,634176.0,Kbase,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,Aggregatibacter_aphrophilus.json,Aggregatibacter aphrophilus NJ8700,kb|g.2675,Aggregatibacter_aphrophilus,species
Agrobacterium tumefaciens F2,Agrobacterium tumefaciens F2 (1050720.3),Aerobe,Respiratory,Negative,,1290.0,1562.0,1169.0,,,1050720.0,Kbase,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,Agrobacterium tumefaciens,Agrobacterium_tumefaciens.json,Agrobacterium tumefaciens F2,kb|g.23531,Agrobacterium_tumefaciens,species
Akkermansia muciniphila ATCC BAA-835,Akkermansia muciniphila ATCC BAA-835 (349741.6),Obligate anaerobe,"Saccharolytic, fermentative",Negative,Commensal,643.0,2274.0,1275.0,Eugen Bauer,08/03/14,349741.0,Kbase,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia muciniphila,Akkermansia_muciniphila.json,Akkermansia muciniphila ATCC BAA-835,,Akkermansia_muciniphila,species
,,Aerobe,Respiratory,Negative,,,,,Laura Kutt,,,Kbase,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenes,Alcaligenes faecalis,Alcaligenes_faecalis.json,,,Alcaligenes_faecalis,species
Alistipes finegoldii DSM 17242,Alistipes finegoldii DSM 17242 (679935.3),Obligate anaerobe,"Saccharolytic, fermentative",Negative,,668.0,1147.0,883.0,Laura Kutt,04/17/16,679935.0,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes finegoldii,Alistipes_finegoldii.json,Alistipes finegoldii DSM 17242,kb|g.27343,Alistipes_finegoldii,species
Alistipes indistinctus YIT 12060,Alistipes indistinctus YIT 12060 (742725.3),Obligate anaerobe,"Saccharolytic, fermentative",Negative,,703.0,2185.0,1393.0,Laura Kutt,04/17/16,742725.0,ModelSEED,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes indistinctus,Alistipes_indistinctus.json,Alistipes indistinctus YIT 12060,kb|g.27472,Alistipes_indistinctus,species
Alistipes onderdonkii DSM 19147,Alistipes onderdonkii DSM 19147 (1120974.3),Obligate anaerobe,"Saccharolytic, fermentative",Negative,,662.0,1101.0,899.0,Laura Kutt,04/17/16,1203611.0,ModelSEED,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes onderdonkii,Alistipes_onderdonkii.json,Alistipes onderdonkii DSM 19147,kb|g.29550,Alistipes_onderdonkii,species
Alistipes putredinis DSM 17216,Alistipes putredinis DSM 17216 (445970.5),Obligate anaerobe,"Weakly saccharolytic, fermentative",Negative,Commensal,421.0,858.0,721.0,chenry,09/09/14,445970.0,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes putredinis,Alistipes_putredinis.json,Alistipes putredinis DSM 17216,kb|g.1522,Alistipes_putredinis,species
Alistipes shahii WAL 8301,Alistipes shahii WAL 8301 (717959.3),Obligate anaerobe,"Saccharolytic, fermentative",Negative,,668.0,2225.0,1262.0,Laura Kutt,04/17/16,717959.0,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes shahii,Alistipes_shahii.json,Alistipes shahii WAL 8301,kb|g.3099,Alistipes_shahii,species
Bacillus clausii KSM-K16,Bacillus clausii KSM-K16 (66692.3),Facultative anaerobe,Respiration or fermentation of carbohydrates and central metabolism intermediates,Positive,,1134.0,1567.0,1136.0,Laura Kutt,04/17/16,66692.0,Kbase,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Alkalihalobacillus,Alkalihalobacillus clausii,Alkalihalobacillus_clausii.json,Bacillus clausii KSM-K16,kb|g.2880,Alkalihalobacillus_clausii,species
Bacillus halodurans C-125,Bacillus halodurans C-125 (272558.1),Aerobe,Respiration or fermentation of carbohydrates and central metabolism intermediates,Positive,,1052.0,1522.0,1118.0,Laura Kutt,04/17/16,272558.0,Kbase,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Alkalihalobacillus,Alkalihalobacillus halodurans,Alkalihalobacillus_halodurans.json,Bacillus halodurans C-125,kb|g.598,Alkalihalobacillus_halodurans,species
