sample_id,Anaerostipes,Bacteroides,Bifidobacterium,Blautia,Clostridium,Collinsella,Coprococcus,Desulfovibrio,Dorea,Eggerthella,Eubacterium,Faecalibacterium,Parabacteroides,Prevotella,Roseburia
P06A01_006,0.0002,2.8571428571428574e-05,0.0,0.0,0.0,0.0,0.9465,0.0,0.0,0.0,0.0,0.0016,0.05,0.0007,0.0
P06A03_006,0.5548,0.0002,0.0,0.0,0.0,0.0,0.4394,0.0006,0.0,0.0,0.0,0.0,0.0,0.0006,0.0002
P06A06_006,0.0002,0.0002,0.0,0.0,0.0002,0.0,0.3169,0.0002,0.3392,0.0002,0.0002,0.0,0.0,0.0009,0.0
P06A08_006,0.9222,0.00014285714285714287,0.0,0.0,0.0001,0.0,0.0008,0.0004,0.0,0.0,0.0619,0.0122,0.0,0.0,0.0
P06A09_006,0.5454,5.714285714285715e-05,0.0,0.0,0.0,0.0,0.4512,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0
P06A12_006,0.0002,0.14241428571428572,6.666666666666667e-05,0.0,0.0002,0.0,0.0006,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0
P06B01_006,0.0,2.8571428571428574e-05,0.0,0.0,0.0,0.0,0.9337,0.0002,0.0002,0.0,0.0002,0.0002,0.0637,0.0011,0.0
P06B03_006,0.5723,8.571428571428573e-05,0.0,0.0,0.0,0.0,0.4239,0.0003,0.0001,0.0,0.0002,0.0,0.0,0.0005,0.0002
P06B05_006,0.0002,7.142857142857143e-05,0.0,0.0,0.0,0.0,0.811,0.1859,0.00025,0.0,0.0003,0.0,0.0,0.0008,0.0
P06B06_006,0.0006,0.0001142857142857143,0.0,0.0,0.0,0.0,0.2248,0.0,0.38565,0.0,0.0004,0.0,0.0004,0.0002,0.0
P06B08_006,0.0002,8.571428571428573e-05,0.0,0.0,0.0002,0.0,0.9749,0.0004,0.0001,0.0,0.0198,0.0008,0.0,0.0,0.0
P06B09_006,0.4877,0.00014285714285714287,0.0,0.0,0.0001,0.0,0.5055,0.0002,0.0001,0.0,0.0006,0.0031,0.0,0.0004,0.0
P06B11_006,0.0345,0.0016428571428571427,0.003833333333333333,0.0,0.0,0.0,0.046,0.0115,0.0,0.0,0.0115,0.8046,0.0,0.0,0.0
P06B12_006,0.0002,0.00017142857142857145,0.0,0.0002,0.0002,0.0,0.0002,0.0002,0.49825,0.0002,0.0004,0.0,0.0,0.0,0.0
P06C01_006,0.0,0.00014285714285714287,0.0,0.0,0.0,0.0,0.9384,0.0002,0.0,0.0002,0.0004,0.0008,0.0576,0.0006,0.0002
P06C03_006,0.553,2.8571428571428574e-05,0.0,0.0,0.0,0.0,0.4228,0.0003,0.0,0.0,0.0001,0.0,0.0225,0.0007,0.0
P06C05_006,0.0,8.571428571428573e-05,0.0,0.0,0.0,0.0,0.823,0.1741,0.0001,0.0,0.0,0.0,0.0,0.0012,0.0
P06C06_006,0.5395,8.571428571428573e-05,0.0,0.0,0.0,0.0002,0.4564,0.0002,0.0002,0.0,0.0004,0.0,0.0,0.0011,0.0
P06C08_006,0.0009,5.714285714285715e-05,0.0,0.0,0.0001,0.0,0.9666,0.0002,0.00035,0.0,0.0285,0.0011,0.0002,0.0,0.0
P06C12_006,0.0002,0.1424142857142857,0.0,0.0,0.0,0.0,0.0004,0.0002,0.0,0.0004,0.0002,0.0,0.0002,0.0,0.0
P06D01_006,0.0002,0.00017142857142857145,0.0007999999999999999,0.0,0.0,0.0,0.9947,0.0002,0.0,0.0,0.0,0.0008,0.0002,0.0002,0.0
P06D03_006,0.5389,0.0001,0.0,0.0,0.0,0.0,0.4354,0.0005,5e-05,0.0,0.0001,0.0,0.0225,0.0005,0.0
P06D05_006,0.0003,0.00015714285714285713,0.0,0.0,0.00015,0.0,0.8098,0.1839,5e-05,0.0,0.0001,0.0,0.0001,0.0016,0.0
P06D06_006,0.5494,8.571428571428573e-05,0.0,0.0,0.0,0.0003,0.4477,0.0001,0.00015,0.0,0.0003,0.0,0.0,0.0007,0.0
P06D07_006,0.001,0.00011428571428571427,0.0,0.0,0.00035,0.0,0.8167,0.0002,0.00015,0.0,0.1756,0.0,0.0,0.0,0.0
P06D08_006,0.0002,5.714285714285715e-05,0.0,0.0,0.0,0.0,0.9651,0.0003,0.00015,0.0002,0.0298,0.0008,0.0,0.0,0.0
P06D10_006,0.9935,0.0002142857142857143,0.0,0.0004,0.0001,0.0,0.0008,0.0004,0.00025,0.0001,0.0001,0.0002,0.0002,0.0001,0.0
P06E01_006,0.0005,5.714285714285715e-05,0.0009666666666666666,0.0,0.0,0.0,0.9922,0.0002,0.0,0.0,0.0,0.0012,0.0,0.0,0.0
P06E03_006,0.5517,4.2857142857142856e-05,0.0,0.0,0.0003,0.0,0.4165,0.0,0.00015,0.0,0.0001,0.0,0.0265,0.0006,0.0001
P06E05_006,0.0007,0.00014285714285714287,0.0,0.0,0.0,0.0,0.941,0.0,0.00015,0.0518,0.0002,0.0,0.0,0.0003,0.0
P06E06_006,0.4741,7.142857142857143e-05,0.0,0.0,0.0,0.0,0.5194,0.0005,0.0002,0.0,0.0003,0.0,0.0,0.0006,0.0
P06E07_006,0.0046,0.0002142857142857143,0.0,0.0,0.00015,0.0,0.7789,0.0005,0.00075,0.0,0.2098,0.0,0.0,0.0003,0.0
P06E10_006,0.9961,5.714285714285715e-05,0.0,0.0,0.0,0.0,0.0011,0.0002,0.00025,0.0,0.0003,0.0,0.0003,0.0,0.0
P06E11_006,0.0025,0.0002,0.0,0.0,5e-05,0.0004,0.0006,0.9854,0.00035,0.0003,0.0,0.0,0.001,0.0,0.0
P06E12_006,0.0007,0.00044285714285714284,0.0,0.0,0.0001,0.0005,0.0011,0.0002,0.4928,0.0027,0.0002,0.0,0.0,0.0,0.0
P06F01_006,0.0005,5.714285714285715e-05,0.0008666666666666666,0.0002,0.0001,0.0,0.9934,0.0,0.0001,0.0,0.0002,0.0005,0.0,0.0012,0.0
P06F03_006,0.6178,0.00015714285714285716,0.0005666666666666666,0.0002,0.0001,0.0,0.3771,0.0,0.0001,0.0,0.0,0.0,0.0,0.0005,0.0007
P06F05_006,0.0004,0.0001142857142857143,0.0,0.0,0.0,0.0,0.9296,0.0,0.00030000000000000003,0.0669,0.0002,0.0,0.0,0.0006,0.0
P06F06_006,0.4752,0.0001142857142857143,0.0,0.0,0.0001,0.0016,0.5008,0.0005,0.00035,0.0,0.0187,0.0,0.0,0.0007,0.0
P06F07_006,0.0008,0.0001142857142857143,0.0,0.0004,0.00030000000000000003,0.0,0.7979,0.0,0.0,0.0,0.1954,0.0,0.0,0.0028,0.0
P06F09_006,0.0015,5.714285714285715e-05,0.0,0.0,0.0,0.0,0.9959,0.0002,0.00030000000000000003,0.0,0.0,0.0,0.0002,0.0,0.0
P06F10_006,0.9893,0.0001,0.0,0.0,0.0,0.0,0.002,0.0005,0.0029999999999999996,0.0003,0.0005,0.0,0.0,0.0,0.0
P06G03_006,0.582,0.00018571428571428572,0.0006666666666666666,0.0003,0.0,0.0,0.4127,0.0002,0.0,0.0002,0.0002,0.0002,0.0,0.0008,0.0
P06G05_006,0.0005,4.2857142857142856e-05,0.0,0.0,0.0,0.0,0.9259,0.0002,0.0,0.0715,0.0003,0.0,0.0,0.0003,0.0
P06G06_006,0.4617,8.571428571428573e-05,0.0,0.0002,0.0001,0.0002,0.5153,0.0006,0.0001,0.0,0.02,0.0,0.0,0.0002,0.0
P06G07_006,0.9163,8.571428571428573e-05,0.0,0.0003,0.0001,0.0,0.0015,0.0002,0.0005,0.0002,0.0685,0.01,0.0,0.0,0.0
P06G09_006,0.0009,0.0,0.0,0.0002,0.0,0.0,0.9956,0.0006,0.0002,0.0,0.0,0.0011,0.0,0.0004,0.0
P06G11_006,0.9976,0.0001,0.0,0.0,0.00015,0.0,0.0002,0.0006,0.0,0.0,0.0,0.0,0.0002,0.0,0.0
P06G12_006,0.0002,0.00022857142857142854,0.0,0.0,0.00030000000000000003,0.0,0.0006,0.0004,0.00030000000000000003,0.9946,0.0006,0.0,0.0,0.0,0.0002
P06H02_006,0.6183,0.0001,0.0,0.0,0.0,0.0,0.3779,0.0,0.0002,0.0,0.0,0.0,0.0,0.0003,0.0
P06H03_006,0.6321,0.0002142857142857143,0.00023333333333333333,0.0,0.0001,0.0001,0.3645,0.0,5e-05,0.0,0.0,0.0,0.0,0.0003,0.0
P06H05_006,0.0004,8.571428571428571e-05,0.0,0.0,0.0,0.0,0.1984,0.0,0.3994,0.0,0.0,0.0,0.0,0.0001,0.0
P06H06_006,0.5648,0.00021428571428571425,0.0,0.0,0.0,0.0,0.4109,0.0004,0.0,0.0003,0.0197,0.0,0.0,0.0004,0.0
P06H07_006,0.912,0.0002,0.0,0.0,0.0005,0.0,0.0006,0.0,0.00025,0.0,0.077,0.0065,0.0,0.0001,0.0
P06H08_006,0.594,0.0001142857142857143,0.0,0.0,0.0001,0.0,0.3997,0.0005,0.0002,0.0002,0.0,0.0034,0.0,0.0,0.0
P06H09_006,0.0036,2.8571428571428574e-05,0.0,0.0,0.00030000000000000003,0.0,0.9924,0.0002,0.0001,0.0002,0.0004,0.0016,0.0,0.0004,0.0
P06H11_006,0.0004,5.714285714285715e-05,0.0,0.0002,0.0,0.0,0.9982,0.0,0.0001,0.0,0.0004,0.0,0.0,0.0,0.0
P07A01_007,0.0002,0.1099142857142857,0.0,0.0,0.0001,0.0,0.0007,0.0,0.0,0.0,0.0638,0.0,0.0002,0.0008,0.0
P07A02_007,0.0002,0.10674285714285714,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.2514,0.0,0.0,0.0007,0.0
P07A03_007,0.0,0.14215714285714284,0.0,0.0,0.0,0.0,0.0006,0.0,0.0001,0.0,0.0,0.0028,0.0,0.0009,0.0002
P07A05_007,0.0001,0.08489999999999999,0.0,0.0,0.0,0.0,0.357,0.0,0.00015,0.0,0.0465,0.0013,0.0,0.0,0.0
P07A06_007,0.0,0.07907142857142857,0.0,0.0,0.0,0.0002,0.3986,0.0,0.0,0.0,0.0466,0.0,0.0,0.0,0.0002
P07A07_007,0.4953,0.00022857142857142854,0.0020333333333333336,0.0,0.0,0.0,0.4958,0.0002,0.0,0.0,0.0002,0.0,0.0,0.0002,0.0
P07A08_007,0.0002,0.0851,0.0,0.0,0.0,0.0,0.3617,0.0,0.00015,0.0,0.0401,0.0013,0.0002,0.0,0.0
P07A09_007,0.5299,5.714285714285715e-05,0.0,0.0002,0.0,0.1559,0.0002,0.0002,0.1497,0.0,0.0129,0.0002,0.0,0.0,0.0
P07A10_007,0.0004,0.09215714285714285,0.009233333333333333,0.0,0.00055,0.0,0.0,0.0,0.00045,0.0,0.0002,0.0023,0.0,0.0,0.0
P07A11_007,0.0001,0.10527142857142857,0.009166666666666667,0.0,0.0,0.0,0.2339,0.0,0.0,0.0,0.0,0.0012,0.0,0.0001,0.0
P07A12_007,0.3061,0.06508571428571429,0.004266666666666667,0.0,0.0,0.0,0.2249,0.0,0.0002,0.0,0.0002,0.0,0.0,0.0,0.0
P07B01_007,0.0003,0.06687142857142857,0.0,0.0,0.15760000000000002,0.0001,0.0006,0.0,0.0,0.0,0.2123,0.0001,0.0,0.0027,0.0004
P07B02_007,0.0004,5.7142857142857135e-05,0.0,0.0,0.00015,0.0,0.0009,0.0,0.24545,0.0,0.4612,0.0,0.0001,0.0038,0.0417
P07B03_007,0.0001,2.8571428571428574e-05,0.0,0.0014,0.00085,0.0,0.0003,0.0003,0.00015,0.0,0.0004,0.0003,0.0001,0.0045,0.9903
P07B04_007,0.0001,0.04475714285714285,0.0,0.0,0.0003,0.1713,0.5113,0.0001,5e-05,0.0,0.0003,0.0,0.0,0.0,0.0
P07B05_007,0.0009,0.00011428571428571427,0.0,0.0,0.0877,0.0,0.7749,0.0,5e-05,0.0,0.0438,0.0022,0.0,0.0,0.0001
P07B06_007,0.0001,0.0001142857142857143,0.0,0.0,0.1056,0.0,0.7354,0.0,5e-05,0.0,0.0495,0.0,0.0001,0.0001,0.0007
P07B07_007,0.395,8.571428571428573e-05,0.0,0.0001,5e-05,0.0,0.5426,0.0583,5e-05,0.0,0.0011,0.0,0.0,0.0,0.0004
P07B08_007,0.0001,7.142857142857143e-05,0.0,0.0,0.06824999999999999,0.0,0.8322,0.0003,0.00015,0.0,0.0273,0.0013,0.0,0.0,0.0
P07B09_007,0.6724,0.026342857142857144,0.0,0.0,0.0559,0.0,0.0005,0.0,5e-05,0.0,0.0279,0.0001,0.0,0.0,0.0001
P07B10_007,0.0,0.0642,0.0,0.0,0.12035,0.0,0.0004,0.0001,0.14385,0.0,0.0,0.0039,0.0154,0.0,0.0001
P07B11_007,0.0,0.049914285714285724,0.0,0.0,0.0298,0.0,0.5597,0.0,0.00015,0.0,0.0,0.0282,0.0,0.0,0.0
P07B12_007,0.3305,0.032,3.3333333333333335e-05,0.0,0.0199,0.0,0.3578,0.0,0.00015,0.0004,0.0,0.0,0.0,0.0,0.0001
P07C02_007,0.0001,0.07267142857142858,0.0,0.0,5e-05,0.2319,0.0001,0.0,5e-05,0.0,0.0,0.0017,0.0,0.004,0.0
P07C03_007,0.5651,1.4285714285714287e-05,0.0,0.0,0.0391,0.0,0.0002,0.0,0.17645,0.0,0.0003,0.0001,0.0,0.0024,0.0002
P07C04_007,0.0007,0.10065714285714286,0.0,0.0,0.0,0.0,0.2935,0.0,0.00015,0.0,0.0003,0.0,0.0,0.0,0.0003
P07C05_007,0.0003,0.10701428571428573,3.3333333333333335e-05,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.2479,0.0012,0.0001,0.0001,0.0001
P07C06_007,0.262,0.0685,0.0,0.0,5e-05,0.0,0.2451,0.0,0.0,0.0001,0.0001,0.0121,0.0,0.0,0.0
P07C07_007,0.0003,0.107,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0432,0.119,0.0001,0.0001,0.0002,0.0
P07C08_007,0.0002,0.10817142857142857,9.999999999999999e-05,0.0,0.0001,0.0,0.0003,0.0,0.0001,0.0,0.2396,0.0014,0.0,0.0,0.0
P07C09_007,0.0001,0.1060857142857143,0.0,0.0,0.0,0.0,0.1789,0.0,5e-05,0.0,0.0767,0.0,0.0001,0.0001,0.0
P07C10_007,0.2709,0.062157142857142855,3.3333333333333335e-05,0.0,0.0,0.0,0.0,0.0,0.14495,0.0006,0.0,0.0019,0.0003,0.0,0.0
P07C11_007,0.0005,0.10451428571428571,0.0,0.0,0.0,0.0,0.2653,0.0,5e-05,0.0002,0.0,0.0018,0.0,0.0,0.0001
P07C12_007,0.2936,0.061585714285714285,0.015033333333333334,0.0,0.0,0.0,0.2283,0.0,0.00015000000000000001,0.0006,0.0001,0.0,0.0,0.0,0.0
P07D01_007,0.0,0.08525714285714285,0.0,0.0,0.0002,0.172,0.0002,0.0,0.0002,0.0,0.2235,0.0041,0.0,0.0021,0.0
P07D02_007,0.0004,0.03964285714285714,0.0,0.0,0.0001,0.0,0.0006,0.0,0.34625,0.0,0.0004,0.0011,0.0256,0.0012,0.0
P07D04_007,0.0006,0.06308571428571429,0.0,0.0,0.0,0.0,0.5009,0.055,0.0002,0.0,0.0,0.0,0.0,0.0003,0.0005
P07D05_007,0.0006,0.09318571428571429,0.0,0.0,5e-05,0.0001,0.0002,0.0,0.00025,0.0,0.3381,0.0039,0.0001,0.0001,0.0016
P07D06_007,0.5015,5.714285714285715e-05,0.0,0.0,0.0001,0.0002,0.3883,0.0,0.00045,0.0,0.0002,0.0005,0.0,0.0,0.0
P07D07_007,0.0004,0.054542857142857136,0.0,0.0,0.055749999999999994,0.3422,0.0003,0.0,0.0004,0.0,0.1617,0.0,0.0001,0.0003,0.0
P07D08_007,0.0006,0.07854285714285714,0.0,0.0,0.10014999999999999,0.0,0.0,0.0,0.0002,0.0,0.2426,0.0046,0.0,0.0,0.0011
P07D09_007,0.0,0.044842857142857136,0.0,0.0,0.0876,0.0004,0.3176,0.0,0.0002,0.0,0.1909,0.0,0.0002,0.0,0.0
