,Treatment,Rep,Sequencing Run,Plate,Row,Column,OD,Acetate,Butyrate,Lactate,Succinate,ER,FP,AC,HB,CC,RI,DP,BH,CA,PC,DL,CG,BF,EL,CH,BO,BT,BU,BV,BC,BY,PJ,DF,BL,BP,BA,BA Fraction,CA Fraction,BT Fraction,BU Fraction,PC Fraction,AC Fraction,BH Fraction,CC Fraction,CG Fraction,ER Fraction,DP Fraction,EL Fraction,BY Fraction,BF Fraction,CD Fraction,RI Fraction,BP Fraction,BV Fraction,CH Fraction,DF Fraction,CS Fraction,PJ Fraction,FP Fraction,EH Fraction,EC Fraction,BC Fraction,HB Fraction,BO Fraction,DL Fraction,BL Fraction,B.cereus Fraction,Total,Unclassified,Contamination?,Experiment No.,Peak30,Peak32,Peak35,Peak41,pH
0,ER,0,MiSeqOSV003,19,A,1,0.568966667,4.4131,29.9305,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001802097,0,0,0.003440367,0.000327654,0,0,0,0.992463958,0,0.000163827,0,0,0.000327654,0,0,0,0,0.000163827,0,0,0.001310616,0,0,0,0,0,0,0,0,6104,0,No,2,,,,,
1,ER-FP,0,MiSeqOSV003,19,C,4,0.806766667,0,30.8609,48.1944,11.2766,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002079,0,0,0,0.970893971,0,0,0,0.024948025,0,0,0,0,0.0002079,0,0,0,0,0,0,0,0.003742204,0,0,0,0,0,0,0,0,4813,3,Yes,2,,,,,
2,AC-ER,0,MiSeqOSV003,19,C,1,0.687166667,0,27.5914,46.7301,8.6136,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.735703002,0,0,0,0.263191153,0,0.000157978,0,0,0.000473934,0.000157978,0,0,0,0,0,0,0,0,0,0,0,0,0.000315956,0,0,6341,11,No,2,,,,,
3,ER-HB,0,MiSeqOSV003,19,D,1,1.715766667,2.9931,53.8812,31.7583,10.5907,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000125644,0,0,0.000125644,0,0.573815806,0.000125644,0.411609499,0.000251288,0.012061817,0,0,0,0,0.000502576,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001382083,0,0,7987,28,Yes,2,,,,,
4,CC-ER,0,MiSeqOSV003,19,E,1,1.893366667,24.6152,21.5316,71.5862,6.7671,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.898949475,0,0.100550275,0,0,0,0.0003335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00016675,0,0,5999,2,No,2,,,,,
5,ER-RI,0,MiSeqOSV003,19,F,1,0.339366667,7.4102,42.5337,50.9935,6.7338,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003325748,0,0,0,0,0,0,0,0,0.043409767,0.010502363,0.001050236,0,0,0.000175039,0.939436373,0,0,0.001925433,0,0,0,0,0,0,0,0,0,0.000175039,0,0,5720,7,Yes,2,,,,,
6,DP-ER,0,MiSeqOSV003,19,G,1,0.441166667,29.0056,19.1492,38.7304,4.9461,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000170271,0,0.000170271,0,0.542652818,0.456325558,0,0,0,0.000340541,0,0,0,0.000170271,0,0,0,0.000170271,0,0,0,0,0,0,0,0,5878,5,No,2,,,,,
7,BH-ER,0,MiSeqOSV003,19,H,1,1.181766667,50.187,23.5439,50.517,5.5618,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000176991,0.412035398,0,0,0.587433628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000176991,0,0,0.000176991,0,0,5659,9,No,2,,,,,
8,CA-ER,0,MiSeqOSV003,19,A,2,1.105966667,11.1392,25.3647,63.6121,13.5639,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.614088546,0,0,0.006811256,0.000179244,0,0.000179244,0,0.37874171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5580,1,No,2,,,,,
9,PC-ER,0,MiSeqOSV003,19,B,2,1.614566667,16.9938,12.4639,37.8998,44.4248,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000151126,0,0,0,0.663593774,0,0,0.000151126,0,0.335650597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000453378,0,0,6625,8,No,2,,,,,
