kingdom,phylum,class,order,family,genus,species,reads,sample
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia wexlerae,4739117,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia obeum,185599,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia sp. SC05B48,102144,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia sp. NBRC 113351,2643,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia producta,19717,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia hansenii,7182,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia argi,2097,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia pseudococcoides,865,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia liquoris,395,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia massiliensis,163175,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Roseburia,Roseburia hominis,403806,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Roseburia,Roseburia intestinalis,204450,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Roseburia,Roseburia sp. NSJ-69,12934,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Anaerostipes,Anaerostipes hadrus,618745,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Anaerostipes,Anaerostipes caccae,260,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Anaerostipes,Anaerostipes rhamnosivorans,14,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Mediterraneibacter,[Ruminococcus] lactaris,319289,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Mediterraneibacter,[Ruminococcus] torques,171756,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Mediterraneibacter,[Ruminococcus] gnavus,92538,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Anaerobutyricum,Anaerobutyricum hallii,563022,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Dorea,Dorea longicatena,239913,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Dorea,Dorea formicigenerans,52717,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Lachnospira,Lachnospira eligens,255879,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Simiaoa,Simiaoa sunii,150693,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Coprococcus,Coprococcus catus,22248,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Coprococcus,Coprococcus comes,18850,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Coprococcus,Coprococcus eutactus,7028,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Coprococcus,Coprococcus sp. ART55/1,3879,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Lachnoclostridium,[Clostridium] scindens,31070,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Lachnoclostridium,Lachnoclostridium sp. YL32,8487,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Lachnoclostridium,Lachnoclostridium phocaeense,1973,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Lachnoclostridium,[Clostridium] hylemonae,1253,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Lachnoclostridium,Lachnoclostridium phytofermentans,10,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,21951,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster asparagiformis,5335,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster clostridioformis,8506,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Wansuia,Wansuia hejianensis,11784,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Marvinbryantia,Marvinbryantia formatexigens,9573,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Faecalicatena,Faecalicatena sp. Marseille-Q4148,9327,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Wujia,Wujia chipingensis,7250,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio crossotus,5330,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,145,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio proteoclasticus,51,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,35,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Sellimonas,Sellimonas intestinalis,4600,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Novisyntrophococcus,Novisyntrophococcus fermenticellae,2762,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora saccharolytica,1167,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora xylanolytica,39,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,16,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Qiania,Qiania dongpingensis,777,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Pseudobutyrivibrio,Pseudobutyrivibrio xylanivorans,686,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Anaerocolumna,Anaerocolumna cellulosilytica,49,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Anaerocolumna,Anaerocolumna chitinilytica,13,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Herbinix,Herbinix luporum,53,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Lachnoanaerobaculum,Lachnoanaerobaculum umeaense,30,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Anaerotignum,Anaerotignum propionicum,16,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Sporofaciens,Sporofaciens musculi,13,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium sp. I3-3-89,368185,7107
Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium sp. I4-3-84,262741,7107
