d,p,c,o,f,g,reads,sample
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,152395,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerobutyricum,36337,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,40588,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,29790,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,15806,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio,2085,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Pseudobutyrivibrio,892,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoanaerobaculum,585,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Herbinix,409,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerotignum,286,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Cellulosilyticum,280,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,120879,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,68402,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Flavonifractor,4744,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Caproiciproducens,643,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ethanoligenens,9633,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,16094,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Mordavella,7554,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Hungatella,1135,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Geosporobacter,139,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Caloramator,98,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Alkaliphilus,88,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Candidatus Arthromitus,61,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Crassaminicella,63,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Hathewaya,130,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,Dysosmobacter,15968,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,Oscillibacter,9267,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,21295,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Paeniclostridium,231,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Paraclostridium,206,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptoclostridium,108,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Filifactor,81,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Acetoanaerobium,66,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,,Monoglobus,7020,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,,Flintibacter,2468,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,,Intestinimonas,6403,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,11126,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,168,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,Christensenella,3810,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XIII. Incertae Sedis,Aminipila,965,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XIII. Incertae Sedis,Mogibacterium,554,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XVII. Incertae Sedis,Thermaerobacter,117,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XVI. Incertae Sedis,Carboxydocella,36,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfitobacterium,320,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfosporosinus,240,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfotomaculum,181,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Dehalobacter,141,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Dehalobacterium,126,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfallas,82,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Syntrophobotulus,147,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfofarcimen,52,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Thermincola,45,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Candidatus Desulforudis,27,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Hungateiclostridiaceae,Hungateiclostridium,547,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Hungateiclostridiaceae,Mageeibacillus,163,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Hungateiclostridiaceae,Pseudoclostridium,156,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Hungateiclostridiaceae,Thermoclostridium,153,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Hungateiclostridiaceae,Ruminiclostridium,97,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Hungateiclostridiaceae,Fastidiosipila,56,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Heliobacteriaceae,Heliobacterium,152,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Vallitaleaceae,Petrocella,140,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Symbiobacteriaceae,Symbiobacterium,85,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Syntrophomonadaceae,Syntrophomonas,28,A1
Bacteria,Firmicutes,Clostridia,Clostridiales,Syntrophomonadaceae,Syntrophothermus,19,A1
Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Caldicellulosiruptor,246,A1
Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Thermoanaerobacterium,250,A1
Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Thermosediminibacter,61,A1
Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter,125,A1
Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Moorella,89,A1
Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Ammonifex,21,A1
Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Tepidanaerobacter,68,A1
Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Caldanaerobacter,52,A1
Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermacetogenium,58,A1
Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Carboxydothermus,23,A1
Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermanaeromonas,13,A1
Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family IV. Incertae Sedis,Mahella,159,A1
Bacteria,Firmicutes,Clostridia,Halanaerobiales,Halanaerobiaceae,Halanaerobium,62,A1
Bacteria,Firmicutes,Clostridia,Halanaerobiales,Halanaerobiaceae,Halocella,35,A1
Bacteria,Firmicutes,Clostridia,Halanaerobiales,Halanaerobiaceae,Halothermothrix,37,A1
Bacteria,Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Acetohalobium,39,A1
Bacteria,Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Halobacteroides,16,A1
Bacteria,Firmicutes,Clostridia,Halanaerobiales,,Anoxybacter,47,A1
Bacteria,Firmicutes,Clostridia,Natranaerobiales,Natranaerobiaceae,Natranaerobius,10,A1
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,16303,A1
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,630,A1
Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,6746,A1
Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Tetragenococcus,97,A1
Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Vagococcus,71,A1
Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Melissococcus,17,A1
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,2082,A1
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,75,A1
Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,177,A1
Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella,128,A1
Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Oenococcus,51,A1
Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium,167,A1
Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Jeotgalibaca,104,A1
Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Dolosigranulum,21,A1
Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Marinilactibacillus,15,A1
Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,152,A1
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,3931,A1
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,233,A1
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Lysinibacillus,230,A1
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Virgibacillus,187,A1
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Oceanobacillus,112,A1
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Anoxybacillus,125,A1
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Halobacillus,111,A1
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Fictibacillus,103,A1
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Parageobacillus,202,A1
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Psychrobacillus,58,A1
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Terribacillus,41,A1
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Salimicrobium,41,A1
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Lentibacillus,39,A1
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Pradoshia,38,A1
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Amphibacillus,33,A1
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Paraliobacillus,28,A1
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Aquibacillus,21,A1
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Aeribacillus,27,A1
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,3580,A1
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,314,A1
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Aneurinibacillus,144,A1
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Thermobacillus,109,A1
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Cohnella,106,A1
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Saccharibacillus,99,A1
Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,1092,A1
Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Macrococcus,88,A1
Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Jeotgalicoccus,26,A1
Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Salinicoccus,20,A1
Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planococcus,400,A1
Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Sporosarcina,235,A1
Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Solibacillus,89,A1
Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Jeotgalibacillus,65,A1
Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Kurthia,61,A1
Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Rummeliibacillus,34,A1
Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Ureibacillus,54,A1
Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Paenisporosarcina,23,A1
Bacteria,Firmicutes,Bacilli,Bacillales,,Exiguobacterium,155,A1
Bacteria,Firmicutes,Bacilli,Bacillales,,Gemella,131,A1
Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,237,A1
Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Brochothrix,41,A1
Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Tumebacillus,148,A1
Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,69,A1
Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Kyrpidia,45,A1
Bacteria,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae,Novibacillus,41,A1
Bacteria,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae,Laceyella,36,A1
Bacteria,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae,Thermoactinomyces,118,A1
Bacteria,Firmicutes,Bacilli,Bacillales,Sporolactobacillaceae,Sporolactobacillus,62,A1
Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalitalea,6272,A1
