sample_id,Acetate,Propionate,Butyrate,Donor,Treatment
FOS_7_1,33.1375,6.1475,7.5175,7,FOS
FOS_8_1,29.1775,7.6575,4.965,8,FOS
FOS_9_1,23.655,6.7725,3.4775,9,FOS
FOS_10_1,22.2125,7.1,6.94,10,FOS
FOS_1_1,17.3625,5.27,5.74,1,FOS
FOS_2_1,21.3475,4.22,5.135,2,FOS
FOS_3_1,19.1275,5.4725,3.1475,3,FOS
FOS_4_1,19.135,3.9425,4.185,4,FOS
FOS_5_1,24.2675,7.5875,7.7825,5,FOS
FOS_6_1,20.545,4.8025,5.2775,6,FOS
FOS_7_2,29.355,5.34,6.5225,7,FOS
FOS_8_2,30.3925,7.765,5.07,8,FOS
FOS_9_2,25.88,7.31,3.8075,9,FOS
FOS_10_2,22.6075,7.0025,7.1225,10,FOS
FOS_1_2,17.69,5.3425,5.87,1,FOS
FOS_2_2,18.19,3.585,4.3975,2,FOS
FOS_3_2,18.135,5.2575,3.0925,3,FOS
FOS_4_2,19.72,4.5925,4.985,4,FOS
FOS_5_2,32.35,10.47,10.86,5,FOS
FOS_6_2,26.8825,5.3175,6.1025,6,FOS
FOS_7_3,27.8975,5.185,6.2425,7,FOS
FOS_8_3,29.395,7.8725,5.145,8,FOS
FOS_9_3,26.0925,7.525,3.775,9,FOS
FOS_10_3,22.0725,7.13,6.92,10,FOS
FOS_1_3,16.59,5.0175,5.4725,1,FOS
FOS_2_3,20.545,4.0475,5.06,2,FOS
FOS_3_3,20.96,6.015,3.4875,3,FOS
FOS_4_3,19.565,3.95,4.4125,4,FOS
FOS_5_3,24.5525,7.65,7.7925,5,FOS
FOS_6_3,24.635,4.8325,5.56,6,FOS
Blank_7_1,1.045,0.3625,0.2425,7,Blank
Blank_8_1,1.2525,0.35,0.2725,8,Blank
Blank_9_1,0.715,0.2175,0.1975,9,Blank
Blank_10_1,0.9925,0.2825,0.1825,10,Blank
Blank_1_1,1.2275,0.2775,0.3175,1,Blank
Blank_2_1,1.51,0.3425,0.4425,2,Blank
Blank_3_1,0.945,0.2275,0.2025,3,Blank
Blank_4_1,1.4275,0.46,0.39,4,Blank
Blank_5_1,1.3025,0.3875,0.4375,5,Blank
Blank_6_1,1.0375,0.255,0.19,6,Blank
Blank_7_2,1.0025,0.3375,0.23,7,Blank
Blank_8_2,1.3225,0.3675,0.285,8,Blank
Blank_9_2,0.72,0.22,0.1925,9,Blank
Blank_10_2,0.9725,0.2775,0.18,10,Blank
Blank_1_2,1.2,0.275,0.315,1,Blank
Blank_2_2,1.415,0.32,0.4125,2,Blank
Blank_3_2,0.955,0.2275,0.205,3,Blank
Blank_4_2,1.4775,0.4725,0.4,4,Blank
Blank_5_2,1.365,0.3925,0.44,5,Blank
Blank_6_2,1.0575,0.26,0.1975,6,Blank
Blank_7_3,1.0425,0.35,0.2375,7,Blank
Blank_8_3,1.2575,0.35,0.27,8,Blank
Blank_9_3,0.7525,0.23,0.2025,9,Blank
Blank_10_3,0.97,0.2725,0.1875,10,Blank
Blank_1_3,1.2225,0.2825,0.3225,1,Blank
Blank_2_3,1.305,0.29,0.38,2,Blank
Blank_3_3,0.8475,0.2,0.18,3,Blank
Blank_4_3,1.3,0.41,0.3475,4,Blank
Blank_5_3,1.2775,0.4,0.4475,5,Blank
Blank_6_3,1.025,0.25,0.1925,6,Blank
Pectin_7_1,26.6125,4.325,3.8875,7,Pectin
Pectin_8_1,26.79,3.7,3.4,8,Pectin
Pectin_9_1,26.4325,4.34,2.195,9,Pectin
Pectin_10_1,25.21,4.4325,2.695,10,Pectin
Pectin_1_1,20.215,2.4775,3.0925,1,Pectin
Pectin_2_1,19.3825,2.1725,2.75,2,Pectin
Pectin_3_1,19.0125,3.1225,1.8425,3,Pectin
Pectin_4_1,20.34,3.0525,2.9275,4,Pectin
Pectin_5_1,22.07,4.2175,5.26,5,Pectin
Pectin_6_1,25.2325,3.1475,3.6325,6,Pectin
Pectin_7_2,26.995,4.38,3.9275,7,Pectin
Pectin_8_2,28.715,4.0275,3.64,8,Pectin
Pectin_9_2,27.3725,4.485,2.1325,9,Pectin
Pectin_10_2,24.5575,4.2925,2.5975,10,Pectin
Pectin_1_2,20.6075,2.4975,3.2125,1,Pectin
Pectin_2_2,23.4825,2.5475,3.3375,2,Pectin
Pectin_3_2,18.725,3.21,1.7625,3,Pectin
Pectin_4_2,19.65,2.9425,2.88,4,Pectin
Pectin_5_2,20.95,3.9925,4.875,5,Pectin
Pectin_6_2,26.01,3.215,3.755,6,Pectin
Pectin_7_3,24.6425,4.1025,3.6325,7,Pectin
Pectin_8_3,28.9425,3.995,3.705,8,Pectin
Pectin_9_3,26.185,4.2225,1.985,9,Pectin
Pectin_10_3,24.74,4.42,2.7675,10,Pectin
Pectin_1_3,21.1725,2.5775,3.2525,1,Pectin
Pectin_2_3,20.665,2.265,2.8225,2,Pectin
Pectin_3_3,18.325,3.195,1.75,3,Pectin
Pectin_4_3,27.335,4.1475,4.0775,4,Pectin
Pectin_5_3,24.1225,4.6275,5.69,5,Pectin
Pectin_6_3,24.24,3.11,3.68,6,Pectin
