reaction,metabolite,flux,name,hmdb,kegg.compound,pubchem.compound,inchi,chebi,reaction,global_id
EX_fru_m,fru,0.0029797199999999,D-Fructose,HMDB00660,C02336,439709.0,,,EX_fru_m,EX_fru(e)
EX_gal_m,gal,0.0029797199999999,D-Galactose,HMDB00143,C00984,439357.0,,,EX_gal_m,EX_gal(e)
EX_man_m,man,0.0029797199999999,D-Mannose,HMDB00169,C00159,18950.0,,,EX_man_m,EX_man(e)
EX_mnl_m,mnl,0.0148985999999999,D-Mannitol,,,,,,EX_mnl_m,EX_mnl(e)
EX_fuc_L_m,fuc_L,0.0029797199999999,L-fucose,HMDB00174,C01019,17106.0,,,EX_fuc_L_m,EX_fuc_L(e)
EX_glcn_m,glcn,0.0029797199999999,D-gluconate,HMDB00625,C00257,10690.0,"InChI=1S/C6H12O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h2-5,7-11H,1H2,(H,12,13)/p-1/t2-,3-,4+,5-/m1/s1",,EX_glcn_m,EX_glcn(e)
EX_rmn_m,rmn,0.0148985999999999,L-Rhamnose,,,,,,EX_rmn_m,EX_rmn(e)
EX_arab_L_m,arab_L,0.00357566,L-arabinose,HMDB00646,C00259,,,,EX_arab_L_m,EX_arab_L(e)
EX_drib_m,drib,0.00357566,2-deoxy-D-ribose,HMDB03224,C01801,22833604.0,"InChI=1S/C5H10O4/c6-2-1-4(8)5(9)3-7/h2,4-5,7-9H,1,3H2/t4-,5+/m0/s1",,EX_drib_m,EX_drib(e)
EX_rib_D_m,rib_D,0.00357566,D-ribose,HMDB00283,C00121,5779.0,,,EX_rib_D_m,EX_rib_D(e)
EX_xyl_D_m,xyl_D,0.00357566,aldehydo-D-xylose,,,644160.0,"InChI=1S/C5H10O5/c6-1-3(8)5(10)4(9)2-7/h1,3-5,7-10H,2H2/t3-,4+,5+/m0/s1",,EX_xyl_D_m,EX_xyl_D(e)
EX_oxa_m,oxa,0.00893914,oxalate(2-),HMDB02329,C00209,971.0,"InChI=1S/C2H2O4/c3-1(4)2(5)6/h(H,3,4)(H,5,6)/p-2",,EX_oxa_m,EX_oxa(e)
EX_lcts_m,lcts,0.0014898599999999,Lactose,HMDB00186,C00243,440995.0,,,EX_lcts_m,EX_lcts(e)
EX_malt_m,malt,0.0014898599999999,Maltose,HMDB00163,C00208,439186.0,,,EX_malt_m,EX_malt(e)
EX_sucr_m,sucr,0.0014898599999999,Sucrose,HMDB00258,C00089,5988.0,,,EX_sucr_m,EX_sucr(e)
