reaction,reaction,metabolite,global_id,flux
EX_12dgr180_m,EX_12dgr180_m,12dgr180_m,EX_12dgr180(e),0.1
EX_ac_m,EX_ac_m,ac_m,EX_ac(e),0.5645040740000017
EX_acgam_m,EX_acgam_m,acgam_m,EX_acgam(e),0.1
EX_ala_D_m,EX_ala_D_m,ala_D_m,EX_ala_D(e),0.1
EX_ala_L_m,EX_ala_L_m,ala_L_m,EX_ala_L(e),0.9478600149999994
EX_amet_m,EX_amet_m,amet_m,EX_amet(e),0.1
EX_arab_L_m,EX_arab_L_m,arab_L_m,EX_arab_L(e),0.0178783
EX_arg_L_m,EX_arg_L_m,arg_L_m,EX_arg_L(e),0.3954819158333332
EX_asn_L_m,EX_asn_L_m,asn_L_m,EX_asn_L(e),0.6593641485000038
EX_asp_L_m,EX_asp_L_m,asp_L_m,EX_asp_L(e),2.2069975400000006
EX_btn_m,EX_btn_m,btn_m,EX_btn(e),0.1
EX_ca2_m,EX_ca2_m,ca2_m,EX_ca2(e),0.1
EX_cbl1_m,EX_cbl1_m,cbl1_m,EX_cbl1(e),0.1
EX_cgly_m,EX_cgly_m,cgly_m,EX_cgly(e),1.332822746904757
EX_chol_m,EX_chol_m,chol_m,EX_chol(e),0.1
EX_cit_m,EX_cit_m,cit_m,EX_cit(e),0.7217027738888895
EX_cl_m,EX_cl_m,cl_m,EX_cl(e),0.1
EX_cobalt2_m,EX_cobalt2_m,cobalt2_m,EX_cobalt2(e),0.1
EX_csn_m,EX_csn_m,csn_m,EX_csn(e),1.190122424000009
EX_cu2_m,EX_cu2_m,cu2_m,EX_cu2(e),0.1
EX_ddca_m,EX_ddca_m,ddca_m,EX_ddca(e),0.1
EX_fe2_m,EX_fe2_m,fe2_m,EX_fe2(e),0.1
EX_fe3_m,EX_fe3_m,fe3_m,EX_fe3(e),0.1
EX_fol_m,EX_fol_m,fol_m,EX_fol(e),0.1
EX_for_m,EX_for_m,for_m,EX_for(e),2.1866914449999992
EX_fru_m,EX_fru_m,fru_m,EX_fru(e),0.263348288333333
EX_fum_m,EX_fum_m,fum_m,EX_fum(e),2.191837448333324
EX_gam_m,EX_gam_m,gam_m,EX_gam(e),0.183484482036232
EX_gln_L_m,EX_gln_L_m,gln_L_m,EX_gln_L(e),0.1859309032352941
EX_glu_L_m,EX_glu_L_m,glu_L_m,EX_glu_L(e),1.9318042074999997
EX_glyc3p_m,EX_glyc3p_m,glyc3p_m,EX_glyc3p(e),0.2957618880833376
EX_h_m,EX_h_m,h_m,EX_h(e),2.349720809999994
EX_h2_m,EX_h2_m,h2_m,EX_h2(e),1.2377069324999954
EX_h2o_m,EX_h2o_m,h2o_m,EX_h2o(e),10.0
EX_ile_L_m,EX_ile_L_m,ile_L_m,EX_ile_L(e),0.015
EX_indole_m,EX_indole_m,indole_m,EX_indole(e),0.1
EX_k_m,EX_k_m,k_m,EX_k(e),0.1
EX_leu_L_m,EX_leu_L_m,leu_L_m,EX_leu_L(e),0.015
EX_malt_m,EX_malt_m,malt_m,EX_malt(e),0.5591368025000021
EX_man_m,EX_man_m,man_m,EX_man(e),0.1456142492777749
EX_met_L_m,EX_met_L_m,met_L_m,EX_met_L(e),0.018
EX_metsox_S_L_m,EX_metsox_S_L_m,metsox_S_L_m,EX_metsox_S_L(e),0.1
EX_mg2_m,EX_mg2_m,mg2_m,EX_mg2(e),0.1
EX_mn2_m,EX_mn2_m,mn2_m,EX_mn2(e),0.1
EX_mnl_m,EX_mnl_m,mnl_m,EX_mnl(e),0.0796049092957751
EX_mobd_m,EX_mobd_m,mobd_m,EX_mobd(e),0.1
EX_na1_m,EX_na1_m,na1_m,EX_na1(e),5.944713004000013
EX_o2_m,EX_o2_m,o2_m,EX_o2(e),0.001
EX_orn_m,EX_orn_m,orn_m,EX_orn(e),0.5540977833333336
EX_phe_L_m,EX_phe_L_m,phe_L_m,EX_phe_L(e),0.1
EX_pheme_m,EX_pheme_m,pheme_m,EX_pheme(e),0.1
EX_pi_m,EX_pi_m,pi_m,EX_pi(e),0.9687681420175404
EX_pnto_R_m,EX_pnto_R_m,pnto_R_m,EX_pnto_R(e),0.1
