index,reaction,flux
EX_etoh_m,EX_etoh_m,22.792195952106
EX_h2o_m,EX_h2o_m,181671.336776337
EX_caro_m,EX_caro_m,0.0131316070144016
EX_retinol_m,EX_retinol_m,1.0996622116965
EX_thm_m,EX_thm_m,7.23560096565124
EX_adpcbl_m,EX_adpcbl_m,2.5671351746e-06
EX_ribflv_m,EX_ribflv_m,0.0068949227064551
EX_nac_m,EX_nac_m,0.479928584005929
EX_ncam_m,EX_ncam_m,0.216377371962733
EX_pnto_R_m,EX_pnto_R_m,0.0548511412428343
EX_pydam_m,EX_pydam_m,0.0049940603187924
EX_pydxn_m,EX_pydxn_m,0.0049947451734211
EX_pydx_m,EX_pydx_m,0.0050549766095165
EX_btn_m,EX_btn_m,0.0004792178631803
EX_10fthf_m,EX_10fthf_m,0.0002546967333399
EX_5mthf_m,EX_5mthf_m,0.0002619054422541
EX_thf_m,EX_thf_m,0.0002707857432332
EX_ascb_L_m,EX_ascb_L_m,1.51385194516555
EX_vitd3_m,EX_vitd3_m,1.53391100248e-05
EX_avite1_m,EX_avite1_m,0.0685386160075281
EX_phyQ_m,EX_phyQ_m,0.0009363080233514
EX_ca2_m,EX_ca2_m,33.0201107839713
EX_cl_m,EX_cl_m,231.445011705638
EX_k_m,EX_k_m,116.447773944136
EX_mg2_m,EX_mg2_m,31.1553178358363
EX_na1_m,EX_na1_m,147.911880218747
EX_pi_m,EX_pi_m,22.3360662142775
EX_cu2_m,EX_cu2_m,0.0473279199320177
EX_fe2_m,EX_fe2_m,0.424456083803384
EX_fe3_m,EX_fe3_m,0.424456083803384
EX_mn2(e)_m,EX_mn2(e)_m,0.174378247351175
EX_zn2(e)_m,EX_zn2(e)_m,0.244799632915265
EX_mnl(e)_m,EX_mnl(e)_m,2.6911958931075
EX_xylt_m,EX_xylt_m,0.276050998450171
EX_lcts_m,EX_lcts_m,26.574680138418
EX_malt_m,EX_malt_m,0.803397054892469
EX_sucr_m,EX_sucr_m,137.117966441375
EX_fru_m,EX_fru_m,157.32729263932
EX_gal_m,EX_gal_m,1.01023613437029
EX_cellul(e)_m,EX_cellul(e)_m,0.237688252970771
EX_ala_L_m,EX_ala_L_m,59.0612976074493
EX_arg_L_m,EX_arg_L_m,40.6717067454907
EX_asp_L_m,EX_asp_L_m,80.1605212018348
EX_cys_L_m,EX_cys_L_m,13.8267983512466
EX_glu_L_m,EX_glu_L_m,130.815459484688
EX_gly_m,EX_gly_m,60.7824918139359
EX_urate_m,EX_urate_m,6.31918448780354
EX_his_L_m,EX_his_L_m,17.2196634840346
EX_ile_L_m,EX_ile_L_m,41.9322512500677
EX_leu_L_m,EX_leu_L_m,63.3179185639717
EX_lys_L_m,EX_lys_L_m,46.3467633181721
EX_met_L_m,EX_met_L_m,12.6699519406372
EX_phe_L_m,EX_phe_L_m,29.6979340646568
EX_pro_L_m,EX_pro_L_m,50.90466904947
EX_ser_L_m,EX_ser_L_m,52.1149443443211
EX_thr_L_m,EX_thr_L_m,38.2589456611529
EX_trp_L_m,EX_trp_L_m,6.19299185409048
EX_tyr_L_m,EX_tyr_L_m,21.2683752004128
EX_val_L_m,EX_val_L_m,50.9786480665629
EX_dca_m,EX_dca_m,0.0434435557849707
EX_ddca_m,EX_ddca_m,0.101851489490231
EX_ttdca_m,EX_ttdca_m,0.78750720213931
EX_ttdcea_m,EX_ttdcea_m,0.0312850708972958
EX_ptdca_m,EX_ptdca_m,0.0721033549084136
EX_hdca_m,EX_hdca_m,34.4471433085072
EX_hpdca_m,EX_hpdca_m,0.202603373555862
EX_ocdca_m,EX_ocdca_m,9.42414222633633
EX_ocdcea_m,EX_ocdcea_m,130.212461458984
EX_lnlc_m,EX_lnlc_m,66.4728248713934
EX_lnlnca_m,EX_lnlnca_m,22.7631796647487
EX_strdnc_m,EX_strdnc_m,0.0
EX_arach_m,EX_arach_m,0.667592228490719
EX_CE2510_m,EX_CE2510_m,1.00671520413458
EX_CE4843_m,EX_CE4843_m,0.0380336706118266
EX_arachd_m,EX_arachd_m,0.359587410354417
EX_docosac_m,EX_docosac_m,0.394315728220756
EX_doco13ac_m,EX_doco13ac_m,0.0498874717568477
EX_adrn_m,EX_adrn_m,0.0
EX_clpnd_m,EX_clpnd_m,0.0501674981380665
EX_crvnc_m,EX_crvnc_m,0.384328461895265
EX_but_m,EX_but_m,0.0723329797054326
EX_octa_m,EX_octa_m,0.0155024143962962
EX_chsterol_m,EX_chsterol_m,1.05303585768653
EX_sbt_D_m,EX_sbt_D_m,6.5699521001604
EX_glc_D_m,EX_glc_D_m,120.210995032636
EX_hdcea_m,EX_hdcea_m,3.61698466813181
EX_lgnc_m,EX_lgnc_m,0.166975492670868
EX_fol_m,EX_fol_m,0.0002726450108369
EX_strch1_m,EX_strch1_m,45.1139619460203
EX_i_m,EX_i_m,0.0036606275570907
EX_starch1200(e)_m,EX_starch1200(e)_m,0.417683121486647
