id	organism	seedid	oxygenstat	metabolism	gram	mtype	genes	reactions	metabolites	draftcreator	draftcreated	ncbiid	platform	kbaseid	kingdom	phylum	class	order	family	genus	species	file	strain
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	numeric	numeric	numeric	categorical	categorical	numeric	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical
Abiotrophia_defectiva_ATCC_49176	Abiotrophia defectiva ATCC 49176	Abiotrophia defectiva ATCC 49176 (592010.4)	Facultative anaerobe	Saccharolytic, fermentative or respiratory	Positive	Pathogen	631	2428	1250	Eugen Bauer	07/01/14	592010	ModelSEED		Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Abiotrophia defectiva	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Abiotrophia_defectiva_ATCC_49176.xml	Abiotrophia defectiva ATCC 49176
Achromobacter_xylosoxidans_A8	Achromobacter xylosoxidans A8	Achromobacter xylosoxidans A8 (762376.5)	Aerobe	Respiratory	Negative		1663	1668	1229			762376	ModelSEED	kb_g_3268_model_gf	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter xylosoxidans	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Achromobacter_xylosoxidans_A8.xml	Achromobacter xylosoxidans A8
Achromobacter_xylosoxidans_NBRC_15126	Achromobacter xylosoxidans NBRC 15126 = ATCC 27061		Aerobe	Respiratory	Negative		1380	1674	1216			1216976	Kbase	kb|g.208127	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter xylosoxidans	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Achromobacter_xylosoxidans_NBRC_15126.xml	Achromobacter xylosoxidans NBRC 15126 = ATCC 27061
Acidaminococcus_fermentans_DSM_20731	Acidaminococcus fermentans DSM 20731	Acidaminococcus fermentans DSM 20731 (591001.3)	Obligate anaerobe	Fermentative	Negative		645	1102	905	Laura Kutt	04/17/16	591001	Kbase	kb|g.2555	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus fermentans	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Acidaminococcus_fermentans_DSM_20731.xml	Acidaminococcus fermentans DSM 20731
Acidaminococcus_intestini_RyC_MR95	Acidaminococcus intestini RyC-MR95	Acidaminococcus intestini RyC-MR95 (568816.4)	Obligate anaerobe	Asaccharolytic, glutamate is fermented	Negative	Commensal	600	1001	828	Eugen Bauer	08/03/14	568816	Kbase		Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus intestini	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Acidaminococcus_intestini_RyC_MR95.xml	Acidaminococcus intestini RyC-MR95
Acidaminococcus_sp_D21	Acidaminococcus sp. D21	Acidaminococcus sp. D21 (563191.3)	Obligate anaerobe	Asaccharolytic, glutamate is fermented	Negative	Commensal	562	860	770	Ines Thiele	06/29/12	563191	Kbase		Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus intestini	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Acidaminococcus_sp_D21.xml	Acidaminococcus sp. D21
Acinetobacter_baumannii_AB0057	Acinetobacter baumannii AB0057	Acinetobacter baumannii AB0057 (480119.5)	Aerobe	Respiratory	Negative		1021	1593	1181			480119	Kbase	kb|g.1744	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Acinetobacter_baumannii_AB0057.xml	Acinetobacter baumannii AB0057
Acinetobacter_calcoaceticus_PHEA_2	Acinetobacter calcoaceticus PHEA-2	Acinetobacter calcoaceticus PHEA-2 (871585.3)	Aerobe	Respiratory	Negative		1026	1586	1164	Laura Kutt	04/18/16	871585	Kbase	kb|g.3519	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter pittii	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Acinetobacter_calcoaceticus_PHEA_2.xml	Acinetobacter calcoaceticus PHEA-2
Acinetobacter_haemolyticus_NIPH_261	Acinetobacter haemolyticus NIPH 261	Acinetobacter haemolyticus NIPH 261 (1217986.3)	Aerobe	Respiratory	Negative		876	1382	1073	Laura Kutt	04/18/16	1217986	ModelSEED	kb|g.31235	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter haemolyticus	/proj/gibbons/refs/micom_databases/recipes/agora1/models/Acinetobacter_haemolyticus_NIPH_261.xml	Acinetobacter haemolyticus NIPH 261
